Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622774,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622774,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.13%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622774,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.31%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 729kB","0B / 0B",32
1740622774,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.39kB / 0B","0B / 0B",20
1740622774,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.59%,"863.3MiB / 15.48GiB",5.45%,"730kB / 82.5MB","0B / 0B",225
1740622787,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622787,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622787,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.21%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 740kB","0B / 0B",32
1740622787,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.11%,"52.6MiB / 60MiB",87.67%,"1.39kB / 0B","0B / 0B",20
1740622787,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,1.04%,"864.4MiB / 15.48GiB",5.45%,"740kB / 82.5MB","0B / 0B",225
1740622797,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622797,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.08%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622797,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.11%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 748kB","0B / 0B",32
1740622797,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622797,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.78%,"865.4MiB / 15.48GiB",5.46%,"749kB / 82.5MB","0B / 0B",225
1740622810,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622810,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622810,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.12%,"128.9MiB / 15.48GiB",0.81%,"82.5MB / 759kB","0B / 0B",32
1740622810,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622810,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.68%,"866.8MiB / 15.48GiB",5.47%,"760kB / 82.5MB","0B / 0B",225
1740622820,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622820,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622820,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.12%,"128.9MiB / 15.48GiB",0.81%,"82.5MB / 767kB","0B / 0B",32
1740622820,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.05%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622820,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.81%,"867.7MiB / 15.48GiB",5.47%,"769kB / 82.5MB","0B / 0B",226
1740622833,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622833,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622833,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.17%,"129MiB / 15.48GiB",0.81%,"82.5MB / 778kB","0B / 0B",32
1740622833,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622833,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.57%,"868.3MiB / 15.48GiB",5.48%,"779kB / 82.5MB","0B / 0B",226
1740622845,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622845,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.08%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622845,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.90%,"134.9MiB / 15.48GiB",0.85%,"82.5MB / 788kB","0B / 0B",32
1740622845,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622845,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.60%,"869.6MiB / 15.48GiB",5.49%,"790kB / 82.5MB","0B / 0B",226
1740622856,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622856,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.09%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622856,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.13%,"138.9MiB / 15.48GiB",0.88%,"82.5MB / 797kB","0B / 0B",32
1740622856,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622856,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.52%,"870.1MiB / 15.48GiB",5.49%,"798kB / 82.5MB","0B / 0B",226
1740622868,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622868,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.2MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622868,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.10%,"143MiB / 15.48GiB",0.90%,"82.5MB / 807kB","0B / 0B",32
1740622868,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622868,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,1.50%,"871.3MiB / 15.48GiB",5.50%,"809kB / 82.5MB","0B / 0B",226
1740622879,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622879,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.19MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622879,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.08%,"147MiB / 15.48GiB",0.93%,"82.5MB / 816kB","0B / 0B",32
1740622879,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622879,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,111.19%,"871.7MiB / 15.48GiB",5.50%,"817kB / 82.5MB","0B / 0B",225
1740622891,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622891,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.2MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622891,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.10%,"153.1MiB / 15.48GiB",0.97%,"82.5MB / 826kB","0B / 0B",32
1740622891,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622891,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.90%,"872.7MiB / 15.48GiB",5.51%,"828kB / 82.5MB","0B / 0B",225
1740622904,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622904,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.19MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622904,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.52%,"157.1MiB / 15.48GiB",0.99%,"82.5MB / 837kB","0B / 0B",32
1740622904,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622904,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,1.70%,"873.9MiB / 15.48GiB",5.51%,"838kB / 82.5MB","0B / 0B",225
1740622914,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622914,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.19MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622914,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.11%,"157.1MiB / 15.48GiB",0.99%,"82.5MB / 845kB","0B / 0B",32
1740622914,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622914,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.54%,"874.8MiB / 15.48GiB",5.52%,"847kB / 82.5MB","0B / 0B",228
1740622927,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622927,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.2MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622927,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.24%,"157.1MiB / 15.48GiB",0.99%,"82.5MB / 856kB","0B / 0B",32
1740622927,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622927,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.74%,"875.7MiB / 15.48GiB",5.53%,"857kB / 82.5MB","0B / 0B",225
1740622939,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622939,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.06%,"98.2MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622939,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.05%,"157.2MiB / 15.48GiB",0.99%,"82.5MB / 865kB","0B / 0B",32
1740622939,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.05%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622939,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,1.02%,"876.7MiB / 15.48GiB",5.53%,"867kB / 82.5MB","0B / 0B",229
1740622950,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622950,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.14%,"98.2MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622950,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.10%,"157.2MiB / 15.48GiB",0.99%,"82.5MB / 875kB","0B / 0B",32
1740622950,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622950,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.57%,"877.7MiB / 15.48GiB",5.54%,"877kB / 82.5MB","0B / 0B",227
1740622962,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622962,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.2MiB / 15.48GiB",0.62%,"1.53kB / 0B","0B / 0B",35
1740622962,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.15%,"157.2MiB / 15.48GiB",0.99%,"82.5MB / 886kB","0B / 0B",32
1740622962,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622962,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.46%,"878.2MiB / 15.48GiB",5.54%,"887kB / 82.5MB","0B / 0B",227
1740622973,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622973,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.12%,"98.19MiB / 15.48GiB",0.62%,"1.53kB / 0B","0B / 0B",35
1740622973,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.12%,"157.2MiB / 15.48GiB",0.99%,"82.5MB / 894kB","0B / 0B",32
1740622973,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.10%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622973,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.78%,"879.5MiB / 15.48GiB",5.55%,"895kB / 82.5MB","0B / 0B",227
1740622985,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622985,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.08%,"98.26MiB / 15.48GiB",0.62%,"1.53kB / 0B","0B / 0B",35
1740622985,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.11%,"157.2MiB / 15.48GiB",0.99%,"82.5MB / 905kB","0B / 0B",32
1740622985,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.08%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622985,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.59%,"880MiB / 15.48GiB",5.55%,"906kB / 82.5MB","0B / 0B",227
